SettoreMerceologico,Insegna,TipoVia,Via,Civico,CodiceVia,ZD,SuperficieVendita,SuperficieAltriUsi,SuperficieTotale,TipoAccesso,Isolato
Settore non alimentare,Non presente,Largo,DOMODOSSOLA,1,6140,8,563.0,467.0,1030.0,Non specificato,122
Settore non alimentare,Non presente,Largo,ISARCO,2,4129,5,492.0,8.0,500.0,Non specificato,13
Settore non alimentare,Non presente,Largo,RICHINI FRANCESCO,1,331,1,293.0,37.0,330.0,accesso esterno,325
Settore non alimentare,Non presente,Passaggio,DUOMO,2,102,1,600.0,150.0,750.0,accesso interno,436
Settore non alimentare,Non presente,Piazzale,AQUILEIA,6,6205,7,320.0,0.0,320.0,accesso esterno,260
Settore non alimentare,Non presente,Piazzale,CHIESA DAMIANO,2,7164,8,2277.0,1000.0,3277.0,accesso esterno,39
Settore non alimentare,Non presente,Piazzale,CIMITERO MAGGIORE,12,7442,8,270.0,270.0,540.0,accesso esterno,141
Settore non alimentare,Non presente,Piazzetta,BOSSI MAURILIO,4,116,1,400.0,800.0,1200.0,accesso esterno,367
Settore non alimentare,Non presente,Piazzetta,GIORDANO UMBERTO,4,345,1,390.0,0.0,390.0,accesso esterno,264
Settore non alimentare,Non presente,Piazza,DELLA TRIVULZIANA,5,1765,9,1100.0,640.0,1740.0,accesso esterno,94
Settore non alimentare,Non presente,Piazza,DELLA TRIVULZIANA,6,1765,9,1100.0,327.0,1427.0,Non specificato,58
Settore non alimentare,Non presente,Piazza,OTTO NOVEMBRE,6,2187,3,267.0,3.0,270.0,accesso esterno,149
Settore non alimentare,Non presente,Piazza,RISORGIMENTO,10,3117,4,302.0,19.0,321.0,accesso esterno,5
Settore non alimentare,Non presente,Piazza,SAN BABILA,1,216,1,1329.0,481.0,1810.0,accesso esterno,316
Settore non alimentare,Non presente,Piazza,SAN BABILA,5,216,1,700.0,0.0,700.0,Non specificato,279
Settore non alimentare,Non presente,Piazza,SAN MARCO,1,1040,1,340.0,57.0,397.0,accesso esterno,299
Settore non alimentare,Non presente,Piazza,SANTA MARIA BELTRADE,1,514,1,417.0,365.0,782.0,accesso esterno,441
Settore non alimentare,Non presente,Piazza,VENTICINQUE APRILE,12,1064,9,781.0,0.0,781.0,accesso interno,322
Settore non alimentare,Non presente,Piazza,VENTIQUATTRO MAGGIO,8,5200,5,400.0,80.0,480.0,Non specificato,89
Settore non alimentare,Non presente,Piazza,VESUVIO,19,6110,7,1200.0,1600.0,2800.0,accesso esterno,280
Settore non alimentare,Non presente,Piazza,VETRA,21,515,1,340.0,0.0,340.0,Non specificato,297
Settore non alimentare,Non presente,Ripa,DI PTA TICINESE,47,5150,6,300.0,0.0,300.0,accesso interno,72
Settore non alimentare,Non presente,Via,ACHILLINI CLAUDIO,2,1605,9,1500.0,0.0,1500.0,accesso esterno,64
Settore non alimentare,Non presente,Via,ALBERICO DA ROSCIATE,5,6589,7,726.0,0.0,726.0,accesso esterno,152
Settore non alimentare,Non presente,Via,ALDINI ANTONIO,28,7461,8,276.0,138.0,414.0,accesso esterno,97
Settore non alimentare,Non presente,Via,ALEARDI ALEARDO,15,7209,8,600.0,0.0,600.0,accesso esterno,73
Settore non alimentare,Non presente,Via,ALUNNO NICOLO',23,6640,7,400.0,0.0,400.0,accesso esterno,197
Settore non alimentare,Non presente,Via,AMADEO GIAN ANTONIO,40,3228,3,360.0,224.0,584.0,accesso esterno,200
Settore non alimentare,Non presente,Via,ANTONINI GIACOMO,26,4250,5,1499.0,0.0,1499.0,Non specificato,99
Settore non alimentare,Non presente,Via,AOSTA,6,7227,8,1000.0,0.0,1000.0,accesso esterno,1
Settore non alimentare,Non presente,Via,ARNALDO DA BRESCIA,4,1151,9,607.0,0.0,607.0,accesso interno,252
Settore non alimentare,Non presente,Via,ARONA,4,7169,8,490.0,150.0,640.0,accesso esterno,40
Settore non alimentare,Non presente,Via,ARONA,15,7169,8,1227.0,0.0,1227.0,accesso esterno,237
Settore non alimentare,Non presente,Via,BALESTRIERI DOMENICO,6,7116,1,310.0,0.0,310.0,Non specificato,314
Settore non alimentare,Non presente,Via,BARONA,21,5356,6,500.0,0.0,500.0,accesso esterno,93
Settore non alimentare,Non presente,Via,BELGIRATE,24,1406,2,870.0,220.0,1090.0,accesso interno,125
Settore non alimentare,Non presente,Via,BENADIR,5,2380,2,1500.0,100.0,1600.0,accesso esterno,288
Settore non alimentare,Non presente,Via,BENADIR,5,2380,2,1500.0,700.0,2200.0,Non specificato,288
Settore non alimentare,Non presente,Via,BIGLI,19,224,1,270.0,110.0,380.0,accesso esterno,363
Settore non alimentare,Non presente,Via,BIGLI,2,224,1,300.0,0.0,300.0,accesso esterno,314
Settore non alimentare,Non presente,Via,BODONI GIAMBATTISTA,2,7261,8,356.0,0.0,356.0,accesso esterno,299
Settore non alimentare,Non presente,Via,MURATORI LODOVICO,27,4076,4,350.0,92.0,442.0,accesso esterno,72
Settore non alimentare,Non presente,Via,BORDIGHERA,12,5265,5,480.0,0.0,480.0,Non specificato,98
Settore non alimentare,Non presente,Via,BORGOGNA,2,301,1,270.0,0.0,270.0,accesso esterno,317
Settore non alimentare,Non presente,Via,BRIZI EUGENIO,4,4186,4,300.0,0.0,300.0,accesso esterno,70
Settore non alimentare,Non presente,Via,CACCIATORI BENEDETTO,12,6305,7,280.0,0.0,280.0,accesso interno,63
Settore non alimentare,Non presente,Corso,BUENOS AIRES,2,2129,3,2500.0,0.0,2500.0,accesso esterno,111
Settore non alimentare,Non presente,Via,CALZECCHI TEMISTOCLE,17,3241,3,300.0,291.0,591.0,accesso esterno,164
Settore non alimentare,Non presente,Via,CANTONI GIOVANNI,7,6206,7,600.0,0.0,600.0,Non specificato,188
Settore non alimentare,Non presente,Via,CARLI GIAN RINALDO,9,1563,9,456.0,90.0,546.0,accesso interno,51
Settore non alimentare,Non presente,Via,CARNEVALI ANTONIO,28,1268,9,300.0,50.0,350.0,accesso interno,43
Settore non alimentare,Non presente,Via,CASARSA,9,1577,9,476.0,14.0,490.0,accesso interno,56
Settore non alimentare,Non presente,Via,SPALLANZANI LAZZARO,5,2153,3,610.0,42.0,652.0,accesso esterno,106
Settore non alimentare,Non presente,Via,CASORETTO,33,2420,3,290.0,0.0,290.0,accesso esterno,6
Settore non alimentare,Non presente,Via,CASSINIS GIOVANNI BATTISTA,23,4309,4,3163.0,0.0,3163.0,accesso esterno,71
Settore non alimentare,Non presente,Via,CASSINIS GIOVANNI BATTISTA,7,4309,4,305.0,0.0,305.0,Non specificato,67
Settore non alimentare,Non presente,Via,CATULLO,8,7428,8,286.0,0.0,286.0,Non specificato,111
Settore non alimentare,Non presente,Via,CHIESE,60,1627,9,1299.0,796.0,2095.0,Non specificato,73
Settore non alimentare,Non presente,Via,COLONNA MARCO ANTONIO,35,7158,8,350.0,0.0,350.0,Non specificato,121
Settore non alimentare,Non presente,Via,CONFALONIERI FEDERICO,34,1125,9,485.0,82.0,567.0,accesso esterno,283
Settore non alimentare,Non presente,Via,CUSANI,10,719,1,261.0,0.0,261.0,Non specificato,270
Settore non alimentare,Non presente,Via,DE AMICIS EDMONDO,29,574,1,2394.0,0.0,2394.0,accesso interno,128
Settore non alimentare,Non presente,Via,DEGLI OMENONI,2,233,1,563.0,117.0,680.0,accesso esterno,383
Settore non alimentare,Non presente,Via,DEGLI ZUCCARO,9,5390,6,800.0,0.0,800.0,accesso esterno,142
Settore non alimentare,Non presente,Via,DEI CROLLALANZA,4,5311,6,800.0,1490.0,2290.0,accesso esterno,67
Settore non alimentare,Non presente,Via,DEI MISSAGLIA,34,5340,5,990.0,0.0,990.0,Non specificato,71
Settore non alimentare,Non presente,Via,DEL DUCA CINO,12,362,1,300.0,110.0,410.0,accesso esterno,191
Settore non alimentare,Non presente,Via,DELL' ANNUNCIATA,2,140,1,913.0,197.0,1110.0,accesso esterno,182
Settore non alimentare,Non presente,Via,DELL' ORSO,7,123,1,269.0,172.0,441.0,accesso esterno,311
Settore non alimentare,Non presente,Via,DOGANA,2,341,1,2092.0,1572.0,3664.0,Non specificato,437
Settore non alimentare,Non presente,Via,DUPRE' GIOVANNI,14,7252,8,800.0,0.0,800.0,accesso esterno,292
Settore non alimentare,Non presente,Via,DURINI,16,313,1,600.0,150.0,750.0,accesso esterno,318
Settore non alimentare,Non presente,Via,DURINI,1,313,1,329.0,93.0,422.0,Non specificato,347
Settore non alimentare,Non presente,Via,DURINI,25,313,1,330.0,120.0,450.0,accesso esterno,317
Settore non alimentare,Non presente,Via,DURINI,28,313,1,872.0,2.0,874.0,accesso interno,318
Settore non alimentare,Non presente,Via,FALLOPPIO GABRIELE,11,2424,3,292.0,0.0,292.0,accesso esterno,9
Settore non alimentare,Non presente,Via,FARA GUSTAVO,39,1183,9,800.0,0.0,800.0,accesso esterno,289
Settore non alimentare,Non presente,Via,FARINI CARLO,47,1114,9,660.0,0.0,660.0,accesso esterno,251
Settore non alimentare,Non presente,Via,FELTRE,17,2652,3,314.0,0.0,314.0,Non specificato,59
Settore non alimentare,Non presente,Via,FELTRE,30,2652,3,1100.0,0.0,1100.0,accesso esterno,67
Settore non alimentare,Non presente,Corso,BUENOS AIRES,47,2129,3,500.0,0.0,500.0,accesso interno,67
Settore non alimentare,Non presente,Via,FERRUCCI FRANCESCO,2,7150,8,310.0,20.0,330.0,accesso esterno,85
Settore non alimentare,Non presente,Via,FILZI FABIO,8,1190,2,800.0,150.0,950.0,accesso esterno,310
Settore non alimentare,Non presente,Via,F.LLI BRONZETTI,16,3089,4,428.0,0.0,428.0,accesso interno,20
Settore non alimentare,Non presente,Via,F.LLI GABBA,1,146,1,564.0,26.0,590.0,accesso esterno,304
Settore non alimentare,Non presente,Via,F.LLI ZOIA,71,6306,7,600.0,10.0,610.0,area aperta recintata,42
Settore non alimentare,Non presente,Via,FOLLI EGIDIO,96,2676,3,600.0,0.0,600.0,accesso esterno,66
Settore non alimentare,Non presente,Via,FRIULI,16,3199,4,794.0,406.0,1200.0,accesso esterno,177
Settore non alimentare,Non presente,Via,GADAMES,57,7423,8,450.0,0.0,450.0,accesso esterno,203
Settore non alimentare,Non presente,Via,GAGGIA PIETRO,1,4187,4,280.0,20.0,300.0,accesso esterno,70
Settore non alimentare,Non presente,Via,GALLARATE,219,7420,8,253.0,0.0,253.0,accesso interno,179
Settore non alimentare,Non presente,Via,GALLI MARIO,19,1304,9,287.0,71.0,358.0,accesso interno,13
Settore non alimentare,Non presente,Via,GATTAMELATA,41,7156,8,1330.0,0.0,1330.0,accesso esterno,328
Settore non alimentare,Non presente,Corso,SEMPIONE,51,7137,8,848.0,0.0,848.0,accesso esterno,160
Settore non alimentare,Non presente,Via,GIOIA MELCHIORRE,62,1108,2,320.0,50.0,370.0,accesso esterno,240
Settore non alimentare,Non presente,Via,GIOVANNI DA UDINE,3,7408,8,530.0,337.0,867.0,accesso esterno,220
Settore non alimentare,Non presente,Via,GIULINI GIORGIO,2,613,1,390.0,81.0,471.0,accesso esterno,371
Settore non alimentare,Non presente,Via,GONIN FRANCESCO,11,5376,6,775.0,1.0,776.0,accesso esterno,156
Settore non alimentare,Non presente,Via,GROSOTTO,7,7328,8,723.0,57.0,780.0,Non specificato,249
Settore non alimentare,Non presente,Via,HOEPLI ULRICO,3,190,1,778.0,0.0,778.0,accesso esterno,384
Settore non alimentare,Non presente,Via,HOEPLI ULRICO,5,190,1,1390.0,500.0,1890.0,accesso esterno,384
Settore non alimentare,Non presente,Via,IMPERIA,15,5266,5,315.0,550.0,865.0,accesso esterno,51
Settore non alimentare,Non presente,Via,LARIO,11,1171,9,350.0,15.0,365.0,accesso esterno,212
Settore non alimentare,Non presente,Via,LAZZARETTO,17,2112,2,405.0,15.0,420.0,accesso esterno,98
Settore non alimentare,Non presente,Via,LENTASIO,1,410,1,355.0,250.0,605.0,accesso esterno,270
Settore non alimentare,Non presente,Via,LEOPARDI GIACOMO,7,6156,1,370.0,50.0,420.0,accesso esterno,289
Settore non alimentare,Non presente,Via,LEPONTINA,12,1147,9,380.0,10.0,390.0,accesso interno,206
Settore non alimentare,Non presente,Via,LESMI,7,5095,1,320.0,0.0,320.0,accesso interno,458
Settore non alimentare,Non presente,Via,LORENTEGGIO,27,5132,6,350.0,0.0,350.0,accesso esterno,152
Settore non alimentare,Non presente,Via,MADERNA BRUNO,2,3382,4,500.0,0.0,500.0,accesso esterno,72
Settore non alimentare,Non presente,Via,MANZONI ALESSANDRO,30,230,1,361.0,62.0,423.0,accesso esterno,255
Settore non alimentare,Non presente,Via,MANZONI ALESSANDRO,31,230,1,905.0,0.0,905.0,Non specificato,254
Settore non alimentare,Non presente,Via,MARCO D'AGRATE,8,4276,5,730.0,390.0,1120.0,accesso esterno,115
Settore non alimentare,Non presente,Via,MARIANI POMPEO,2,2490,2,1350.0,0.0,1350.0,accesso esterno,120
Settore non alimentare,Non presente,Via,MARTINI SIMONE,3,5307,6,750.0,0.0,750.0,accesso esterno,46
Settore non alimentare,Non presente,Via,MAZZINI GIUSEPPE,2,516,1,648.0,0.0,648.0,accesso esterno,447
Settore non alimentare,Non presente,Via,MEDA GIUSEPPE,11,5242,5,350.0,1260.0,1610.0,accesso interno,130
Settore non alimentare,Non presente,Via,MEDEGHINO,9,5335,5,319.0,40.0,359.0,accesso esterno,47
Settore non alimentare,Non presente,Viale,PAPINIANO,12,5097,1,523.0,0.0,523.0,accesso interno,35
Settore non alimentare,Non presente,Via,MONTE NAPOLEONE,11,219,1,800.0,0.0,800.0,accesso esterno,314
Settore non alimentare,Non presente,Via,MONTE NAPOLEONE,4,219,1,891.0,560.0,1451.0,Non specificato,308
Settore non alimentare,Non presente,Via,MONTE NAPOLEONE,27,219,1,500.0,0.0,500.0,accesso esterno,302
Settore non alimentare,Non presente,Via,MONTE NAPOLEONE,27,219,1,597.0,60.0,657.0,Non specificato,314
Settore non alimentare,Non presente,Via,MONTE SAN GABRIELE,8,2481,2,420.0,0.0,420.0,accesso esterno,180
Settore non alimentare,Non presente,Via,MOROSINI EMILIO,7,3073,4,371.0,0.0,371.0,accesso esterno,46
Settore non alimentare,Non presente,Via,MURATORI LODOVICO,13,4076,4,772.0,2052.0,2824.0,accesso esterno,165
Settore non alimentare,Non presente,Via,MURATORI LODOVICO,27,4076,4,724.0,276.0,1000.0,Non specificato,118
Settore non alimentare,Non presente,Via,AOSTA,6,7227,8,450.0,0.0,450.0,accesso esterno,161
Settore non alimentare,Non presente,Via,NERINO,12,564,1,362.0,225.0,587.0,accesso esterno,349
Settore non alimentare,Non presente,Via,NERVESA,30,4167,4,800.0,0.0,800.0,Non specificato,93
Settore non alimentare,Non presente,Via,NIEVO IPPOLITO,41,6354,8,470.0,0.0,470.0,accesso esterno,87
Settore non alimentare,Non presente,Via,NOVARA,127,6624,7,286.0,0.0,286.0,accesso esterno,38
Settore non alimentare,Non presente,Via,OLONA,25,5090,1,261.0,0.0,261.0,accesso interno,224
Settore non alimentare,Non presente,Via,PACINI GIOVANNI,64,2571,3,406.0,10.0,416.0,accesso esterno,83
Settore non alimentare,Non presente,Via,PADOVA,237,2275,2,600.0,0.0,600.0,Non specificato,233
Settore non alimentare,Non presente,Via,PAISIELLO GIOVANNI,1,2245,3,280.0,270.0,550.0,accesso esterno,63
Settore non alimentare,Non presente,Via,PALAZZI LAZZARO,2,2171,3,563.0,442.0,1005.0,Non specificato,79
Settore non alimentare,Non presente,Via,PALIZZI FILIPPO,69,7451,8,760.0,51.0,811.0,Non specificato,107
Settore non alimentare,Non presente,Via,PANZERI PIETRO,10,5183,1,384.0,0.0,384.0,accesso esterno,53
Settore non alimentare,Non presente,Via,PASSO BUOLE,4,4218,5,400.0,0.0,400.0,accesso interno,198
Settore non alimentare,Non presente,Via,PAULLO,11,3177,4,428.0,330.0,758.0,accesso interno,58
Settore non alimentare,Non presente,Via,PECCHIO GIUSEPPE,10,2240,3,800.0,0.0,800.0,Non specificato,40
Settore non alimentare,Non presente,Via,TOCE,11,1325,9,900.0,0.0,900.0,accesso esterno,173
Settore non alimentare,Non presente,Via,PELLINI EUGENIO,3,1482,2,396.0,0.0,396.0,accesso esterno,123
Settore non alimentare,Non presente,Via,PETITTI CARLO ILARIONE,5,7161,8,270.0,100.0,370.0,accesso esterno,330
Settore non alimentare,Non presente,Via,PETITTI CARLO ILARIONE,6,7161,8,320.0,0.0,320.0,Non specificato,160
Settore non alimentare,Non presente,Via,PLANA GIOVANNI ANTONIO,38,7177,8,433.0,0.0,433.0,accesso esterno,325
Settore non alimentare,Non presente,Via,PONTACCIO,3,143,1,300.0,0.0,300.0,Non specificato,350
Settore non alimentare,Non presente,Via,PORTA CARLO,1,1051,1,340.0,35.0,375.0,accesso esterno,93
Settore non alimentare,Non presente,Via,PRINETTI LUIGI,44,2329,2,409.0,250.0,659.0,accesso esterno,281
Settore non alimentare,Non presente,Via,QUARENGHI GIACOMO,40,7478,8,390.0,0.0,390.0,Non specificato,250
Settore non alimentare,Non presente,Via,ROSSI PELLEGRINO,15,1510,9,300.0,30.0,330.0,accesso esterno,182
Settore non alimentare,Non presente,Via,ROSSI PELLEGRINO,93,1510,9,317.0,0.0,317.0,accesso esterno,153
Settore non alimentare,Non presente,Via,ROSSO DI SAN SECONDO,15,3009,3,570.0,75.0,645.0,accesso esterno,146
Settore non alimentare,Non presente,Via,SAN BARNABA,27,3010,1,358.0,0.0,358.0,Non specificato,201
Settore non alimentare,Non presente,Via,SAN DAMIANO,4,351,1,485.0,0.0,485.0,Non specificato,328
Settore non alimentare,Non presente,Via,SANDRI SANDRO,2,1046,1,251.0,0.0,251.0,accesso esterno,179
Settore non alimentare,Non presente,Via,SAN GREGORIO,1,2123,3,1250.0,285.0,1535.0,accesso esterno,105
Settore non alimentare,Non presente,Via,SAN GREGORIO,48,2123,2,300.0,250.0,550.0,accesso esterno,69
Settore non alimentare,Non presente,Via,SAN MARCO,26,1036,1,398.0,105.0,503.0,accesso esterno,177
Settore non alimentare,Non presente,Via,SAN PIETRO ALL'ORTO,10,213,1,565.0,250.0,815.0,Non specificato,316
Settore non alimentare,Non presente,Via,SAN SIRO,31,6282,7,350.0,0.0,350.0,accesso interno,173
Settore non alimentare,Non presente,Via,SANTA CECILIA,4,349,1,255.0,0.0,255.0,accesso esterno,190
Settore non alimentare,Non presente,Via,SANTA CROCE,8,5188,1,270.0,130.0,400.0,accesso esterno,212
Settore non alimentare,Non presente,Via,SANTA MARIA VALLE,1,535,1,294.0,0.0,294.0,accesso esterno,397
Settore non alimentare,Non presente,Via,SANTA MARIA VALLE,3,535,1,390.0,510.0,900.0,Non specificato,356
Settore non alimentare,Non presente,Via,SANT' ANDREA,11,222,1,277.0,23.0,300.0,accesso esterno,260
Settore non alimentare,Non presente,Via,SANT' ANDREA,5,222,1,331.0,0.0,331.0,accesso esterno,260
Settore non alimentare,Non presente,Via,SANT' ANDREA,9,222,1,364.0,0.0,364.0,accesso esterno,260
Settore non alimentare,Non presente,Via,SANT' ANDREA,10,222,1,290.0,0.0,290.0,Non specificato,255
Settore non alimentare,Non presente,Via,SANTO SPIRITO,19,228,1,337.0,163.0,500.0,accesso esterno,258
Settore non alimentare,Non presente,Via,SARPI FRA' PAOLO,4,7210,8,693.0,0.0,693.0,accesso interno,68
Settore non alimentare,Non presente,Via,SARPI FRA' PAOLO,60,7210,8,251.0,0.0,251.0,accesso esterno,71
Settore non alimentare,Non presente,Via,SAVONA,25,5122,6,265.0,0.0,265.0,Non specificato,56
Settore non alimentare,Non presente,Via,SCANINI ALESSANDRO,9,6755,7,512.0,0.0,512.0,accesso esterno,80
Settore non alimentare,Non presente,Via,SCIESA AMATORE,21,3072,4,450.0,60.0,510.0,accesso esterno,56
Settore non alimentare,Non presente,Via,SIRTORI GIUSEPPE,26,2180,3,1530.0,0.0,1530.0,accesso interno,145
Settore non alimentare,Non presente,Via,SISMONDI GIANCARLO,70,3256,4,385.0,0.0,385.0,accesso interno,247
Settore non alimentare,Non presente,Via,SODERINI LUIGI,54,6675,6,800.0,740.0,1540.0,accesso esterno,69
Settore non alimentare,Non presente,Via,SOLFERINO,11,1028,1,347.0,0.0,347.0,accesso interno,172
Settore non alimentare,Non presente,Via,SOLFERINO,39,1028,1,1200.0,8.0,1208.0,accesso interno,6
Settore non alimentare,Non presente,Via,SOLONE,8,2346,2,500.0,0.0,500.0,accesso esterno,71
Settore non alimentare,Non presente,Via,SORESINA GIOVANNI BATTISTA,14,6207,7,3000.0,40.0,3040.0,accesso esterno,240
Settore non alimentare,Non presente,Via,SPALLANZANI LAZZARO,5,2153,3,878.0,305.0,1183.0,accesso esterno,141
Settore non alimentare,Non presente,Via,SPERONARI,8,517,1,701.0,162.0,863.0,accesso esterno,447
Settore non alimentare,Non presente,Via,STRIGELLI GAETANO,13,3214,4,270.0,0.0,270.0,accesso esterno,78
Settore non alimentare,Non presente,Via,TAGIURA,19,6125,6,294.0,0.0,294.0,accesso esterno,42
Settore non alimentare,Non presente,Via,TAZZOLI ENRICO,11,1118,9,376.0,0.0,376.0,accesso interno,293
Settore non alimentare,Non presente,Via,TEANO,6,1632,9,403.0,0.0,403.0,accesso esterno,6
Settore non alimentare,Non presente,Via,TESSA DELIO,1,1020,1,600.0,0.0,600.0,Non specificato,245
Settore non alimentare,Non presente,Via,TIMAVO,32,1174,2,840.0,346.0,1186.0,accesso interno,239
Settore non alimentare,Non presente,Via,TOCE,11,1325,9,380.0,8.0,388.0,accesso esterno,207
Settore non alimentare,Non presente,Via,TOLSTOI LEONE,87,5133,6,762.0,0.0,762.0,accesso esterno,41
Settore non alimentare,Non presente,Via,TORINO,21,543,1,270.0,0.0,270.0,accesso esterno,446
Settore non alimentare,Non presente,Via,TORINO,23,543,1,298.0,99.0,397.0,Non specificato,436
Settore non alimentare,Non presente,Via,TORINO,2,543,1,850.0,0.0,850.0,Non specificato,438
Settore non alimentare,Non presente,Via,TORINO,44,543,1,395.0,226.0,621.0,Non specificato,436
Settore non alimentare,Non presente,Via,TRAIANO MARCO ULPIO,79,7157,8,1012.0,90.0,1102.0,accesso esterno,249
Settore non alimentare,Non presente,Via,TRAIANO MARCO ULPIO,79,7157,8,375.0,128.0,503.0,Non specificato,249
Settore non alimentare,Non presente,Via,VALSOLDA,11,5288,6,1150.0,1000.0,2150.0,accesso interno,22
Settore non alimentare,Non presente,Via,VALTELLINA,17,1188,9,358.0,0.0,358.0,accesso interno,105
Settore non alimentare,Non presente,Via,VARANINI LUIGI,28,2288,2,400.0,0.0,400.0,accesso esterno,321
Settore non alimentare,Non presente,Via,VENINI GIULIO E CORRADO,46,2258,2,251.0,22.0,273.0,accesso esterno,346
Settore non alimentare,Non presente,Via,VENINI GIULIO E CORRADO,87,2258,2,270.0,0.0,270.0,accesso esterno,320
Settore non alimentare,Non presente,Via,VENINI GIULIO E CORRADO,87,2258,2,345.0,25.0,370.0,accesso esterno,346
Settore non alimentare,Non presente,Via,VERRI PIETRO,8,223,1,267.0,97.0,364.0,accesso esterno,315
Settore non alimentare,Non presente,Via,VICO GIAN BATTISTA,14,6219,1,307.0,15.0,322.0,accesso esterno,225
Settore non alimentare,Non presente,Via,VIPACCO,36,2444,2,312.0,0.0,312.0,accesso esterno,26
Settore non alimentare,Non presente,Via,VISCONTI DI MODRONE UBERTO,12,361,1,265.0,0.0,265.0,Non specificato,316
Settore non alimentare,Non presente,Via,VODICE,3,6552,7,375.0,0.0,375.0,accesso esterno,252
Settore non alimentare,Non presente,Via,VOLTERRA,12,6260,7,540.0,110.0,650.0,accesso esterno,250
Settore non alimentare,Non presente,Via,WITTGENS FERNANDA,5,597,1,502.0,0.0,502.0,accesso esterno,275
Settore non alimentare,Non presente,Via,ZANELLA GIACOMO,36,3257,4,378.0,0.0,378.0,accesso esterno,253
Settore non alimentare,Non presente,Via,ZANELLA GIACOMO,61,3257,4,1500.0,455.0,1955.0,accesso esterno,246
Settore non alimentare,Non presente,Viale,ABRUZZI,51,2177,3,292.0,0.0,292.0,accesso esterno,29
Settore non alimentare,Non presente,Viale,ABRUZZI,13,2177,3,300.0,0.0,300.0,accesso interno,67
Settore non alimentare,Non presente,Viale,AFFORI,19,1545,9,450.0,150.0,600.0,accesso esterno,145
Settore non alimentare,Non presente,Viale,CASSALA,14,5275,6,566.0,240.0,806.0,accesso esterno,153
Settore non alimentare,Non presente,Via,MANZOTTI LUIGI,24,1300,9,350.0,0.0,350.0,accesso interno,20
Settore non alimentare,Non presente,Viale,CERTOSA,135,7174,8,1000.0,0.0,1000.0,accesso esterno,61
Settore non alimentare,Non presente,Viale,CERTOSA,36,7174,8,374.0,326.0,700.0,accesso esterno,316
Settore non alimentare,Non presente,Viale,CERTOSA,9,7174,8,600.0,0.0,600.0,accesso esterno,335
Settore non alimentare,Non presente,Viale,CIRENE,22,4085,4,420.0,0.0,420.0,accesso interno,142
Settore non alimentare,Non presente,Viale,COL DI LANA,6,5198,5,470.0,0.0,470.0,Non specificato,116
Settore non alimentare,Non presente,Viale,DI PORTA VERCELLINA,16,6213,1,388.0,0.0,388.0,accesso esterno,237
Settore non alimentare,Non presente,Viale,DORIA ANDREA,24,2230,3,322.0,0.0,322.0,accesso interno,16
Settore non alimentare,Non presente,Viale,EGINARDO,15,6366,8,826.0,1524.0,2350.0,accesso esterno,209
Settore non alimentare,Non presente,Viale,ESPINASSE CARLO,106,7390,8,305.0,0.0,305.0,accesso interno,194
Settore non alimentare,Non presente,Viale,FAMAGOSTA,44,5353,6,430.0,0.0,430.0,accesso esterno,77
Settore non alimentare,Non presente,Via,BRIZI EUGENIO,4,4186,4,1350.0,0.0,1350.0,Non specificato,72
Settore non alimentare,Non presente,Viale,GORIZIA,14,5156,6,400.0,400.0,800.0,accesso interno,56
Settore non alimentare,Non presente,Viale,JENNER EDOARDO,29,1230,9,400.0,500.0,900.0,Non specificato,100
Settore non alimentare,Non presente,Viale,LANCETTI VINCENZO,17,1221,9,1000.0,4600.0,5600.0,accesso esterno,103
Settore non alimentare,Non presente,Viale,LIGURIA,28,5264,6,361.0,0.0,361.0,accesso esterno,156
Settore non alimentare,Non presente,Viale,MARTINI ENRICO,9,4175,4,755.0,0.0,755.0,Non specificato,85
Settore non alimentare,Non presente,Viale,MONTE NERO,32,3062,4,910.0,30.0,940.0,accesso esterno,134
Settore non alimentare,Non presente,Viale,MONZA,107,2274,2,868.0,0.0,868.0,accesso esterno,294
Settore non alimentare,Non presente,Viale,MONZA,113,2274,2,455.0,100.0,555.0,accesso esterno,293
Settore non alimentare,Non presente,Viale,MONZA,16,2274,2,560.0,40.0,600.0,accesso interno,352
Settore non alimentare,Non presente,Viale,MONZA,237,2274,2,414.0,0.0,414.0,accesso esterno,99
Settore non alimentare,Non presente,Viale,MONZA,244,2274,2,470.0,0.0,470.0,accesso esterno,65
Settore non alimentare,Non presente,Viale,MONZA,289,2274,2,272.0,106.0,378.0,accesso esterno,64
Settore non alimentare,Non presente,Viale,MONZA,289,2274,2,584.0,0.0,584.0,area aperta recintata,64
Settore non alimentare,Non presente,Viale,MONZA,40,2274,2,300.0,0.0,300.0,accesso esterno,332
Settore non alimentare,Non presente,Viale,MONZA,9,2274,2,387.0,0.0,387.0,accesso esterno,346
Settore non alimentare,Non presente,Via,PALMANOVA,65,2390,2,590.0,350.0,940.0,accesso esterno,322
Settore non alimentare,Non presente,Viale,PASUBIO,13,1112,1,300.0,0.0,300.0,accesso esterno,318
Settore non alimentare,Non presente,Viale,ROMOLO,9,5284,6,615.0,458.0,1073.0,Non specificato,74
Settore non alimentare,Non presente,Viale,SABOTINO,4,4046,5,350.0,0.0,350.0,accesso interno,171
Settore non alimentare,Non presente,Viale,STELVIO,3,1227,9,651.0,1849.0,2500.0,accesso esterno,215
Settore non alimentare,Non presente,Viale,STELVIO,47,1227,9,600.0,400.0,1000.0,accesso esterno,204
